Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients_with_Concentration,Effects
14-18,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Benzoyl Peroxide 2.5% + Salicylic Acid 2%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Dry,Yes,Acne,Inflammatory,Zinc PCA + Benzoyl Peroxide 2.5% + Niacinamide 5%,"Controls sebum production, Kills acne-causing bacteria, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Acne,Fungal,Zinc PCA + Azelaic Acid 10% + Salicylic Acid 2%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Dry,Yes,Acne,Cystic,Benzoyl Peroxide 2.5% + Niacinamide 5% + Azelaic Acid 10%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
14-18,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,Hyaluronic Acid 1% + Caffeine 3% + Vitamin C 10%,"Hydrates and plumps the skin, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,Yes,Dark Circles,Vascular,Vitamin C 10% + Niacinamide 5% + Caffeine 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
14-18,Normal,Normal to Dry,Yes,Dark Spots,General,Alpha Arbutin 2% + Niacinamide 5% + Vitamin C 10%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,Yes,Dullness,General,Vitamin C 10% + Lactic Acid + Green Tea Extract 3%,"Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits"
14-18,Normal,Normal to Dry,Yes,Hyperpigmentation,General,Alpha Arbutin 2% + Vitamin C 10% + Niacinamide 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Open Pores,General,Azelaic Acid 10% + Salicylic Acid 2% + Green Tea Extract 3%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
14-18,Normal,Normal to Dry,Yes,Redness,General,Chamomile Extract + Aloe Vera + Niacinamide 5%,"Calms redness and irritation, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Sun Tan,General,Vitamin C 10% + Alpha Arbutin 2% + Aloe Vera,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin"
14-18,Normal,Normal to Dry,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Niacinamide 5%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Wrinkles,General,Niacinamide 5% + Hyaluronic Acid 1%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves skin elasticity and firmness"
14-18,Normal,Normal to Dry,No,Acne,Comedonal,Green Tea Extract 3% + Salicylic Acid 2% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,No,Acne,Inflammatory,Salicylic Acid 2% + Benzoyl Peroxide 2.5% + Zinc PCA,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production"
14-18,Normal,Normal to Dry,No,Acne,Fungal,Azelaic Acid 10% + Green Tea Extract 3% + Benzoyl Peroxide 2.5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
14-18,Normal,Normal to Dry,No,Acne,Cystic,Green Tea Extract 3% + Zinc PCA + Azelaic Acid 10%,"Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Reduces acne and improves skin texture"
14-18,Normal,Normal to Dry,No,Dark Circles,Pigmented,Vitamin C 10% + Caffeine 3% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,No,Dark Circles,Vascular,Licorice Extract 2% + Caffeine 3% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,No,Dark Spots,General,Licorice Extract 2% + Vitamin C 10% + Kojic Acid 1%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration"
14-18,Normal,Normal to Dry,No,Dullness,General,Lactic Acid + Green Tea Extract 3% + Hyaluronic Acid 1%,"Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin"
14-18,Normal,Normal to Dry,No,Hyperpigmentation,General,Alpha Arbutin 2% + Tranexamic Acid 2% + Licorice Extract 2%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Dry,No,Open Pores,General,Niacinamide 5% + Azelaic Acid 10% + Clay,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores"
14-18,Normal,Normal to Dry,No,Redness,General,Aloe Vera + Centella Asiatica + Chamomile Extract,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation"
14-18,Normal,Normal to Dry,No,Sun Tan,General,Licorice Extract 2% + Aloe Vera + Alpha Arbutin 2%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Dry,No,Whiteheads / Blackheads,General,Salicylic Acid 2% + Willow Bark Extract + Niacinamide 5%,"Unclogs pores and removes excess oil, Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,No,Wrinkles,General,Hyaluronic Acid 1%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin"
14-18,Normal,Normal to Oily,Yes,Acne,Comedonal,Niacinamide 5% + Zinc PCA + Benzoyl Peroxide 2.5%,"Reduces inflammation and regulates sebum, Controls sebum production, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,Yes,Acne,Inflammatory,Salicylic Acid 2% + Zinc PCA + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
14-18,Normal,Normal to Oily,Yes,Acne,Fungal,Zinc PCA + Green Tea Extract 3% + Salicylic Acid 2%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Oily,Yes,Acne,Cystic,Benzoyl Peroxide 2.5% + Azelaic Acid 10% + Green Tea Extract 3%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
14-18,Normal,Normal to Oily,Yes,Dark Circles,Pigmented,Caffeine 3% + Vitamin C 10% + Caffeine 3%,"Improves blood circulation under eyes, Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation"
14-18,Normal,Normal to Oily,Yes,Dark Circles,Vascular,Licorice Extract 2% + Caffeine 3% + Hyaluronic Acid 1%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
14-18,Normal,Normal to Oily,Yes,Dark Spots,General,Licorice Extract 2% + Alpha Arbutin 2% + Kojic Acid 1%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
14-18,Normal,Normal to Oily,Yes,Dullness,General,Green Tea Extract 3% + Vitamin C 10% + Lactic Acid,"Provides antioxidant and anti-inflammatory benefits, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance"
