id,name,brand,category,price,rating,reviews_count,image_url,description,ingredients_text,how_to_use
1,Advanced Night Repair Serum,Estée Lauder,Serum,95.00,4.7,1250,https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=300&h=300&fit=crop&crop=center,Intensive anti-aging serum that repairs visible skin damage,Water・Bifida Ferment Lysate・Glycerin・Squalane・Sodium Hyaluronate,Apply 1-2 drops to clean skin morning and night
2,Niacinamide 10% + Zinc 1%,The Ordinary,Serum,5.90,4.6,8500,https://images.unsplash.com/photo-1596462502278-6daf7a8d2dcf?w=300&h=300&fit=crop&crop=center,High-strength serum that reduces blemishes and congestion,Water・Niacinamide・Zinc PCA・Pentylene Glycol,Apply a few drops to face morning and evening
3,Hydrating Facial Cleanser,CeraVe,Cleanser,12.50,4.7,12000,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=300&h=300&fit=crop&crop=center,Non-foaming cleanser that removes dirt while restoring barrier,Water・Glycerin・Ceramide NP・Sodium Hyaluronate,Use with lukewarm water. Massage into wet skin
4,Ultra Facial Cream,Kiehl's,Moisturizer,34.00,4.6,5800,https://images.unsplash.com/photo-1526947425960-945c6f7289a6?w=300&h=300&fit=crop&crop=center,24-hour hydration cream that leaves skin soft,Water・Glycerin・Squalane・Macadamia Oil,Apply to clean skin every morning and night
5,2% BHA Liquid Exfoliant,Paula's Choice,Exfoliator,29.50,4.8,4200,https://images.unsplash.com/photo-1596462502278-6daf7a8d2dcf?w=300&h=300&fit=crop&crop=center,Leave-on exfoliant that unclogs pores and smooths texture,Water・Salicylic Acid・Butylene Glycol・Green Tea Extract,Apply to cotton pad and sweep over face
6,Hydro Boost Water Gel,Neutrogena,Moisturizer,16.99,4.5,9200,https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=300&h=300&fit=crop&crop=center,Oil-free gel moisturizer that quenches dry skin,Water・Glycerin・Sodium Hyaluronate・Niacinamide,Apply daily to face and neck
7,The Water Cream,Tatcha,Moisturizer,68.00,4.5,2100,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=300&h=300&fit=crop&crop=center,Oil-free gel moisturizer that hydrates and refines pores,Water・Glycerin・Squalane・Sodium Hyaluronate,Apply a pearl-sized amount to clean skin
8,Vitamin C Super Booster,Paula's Choice,Serum,36.00,4.5,1800,https://images.unsplash.com/photo-1596462502278-6daf7a8d2dcf?w=300&h=300&fit=crop&crop=center,Vitamin C serum that brightens and firms skin,Water・Ascorbic Acid・Ferulic Acid・Glycerin,Apply 2-3 drops to face and neck in morning
9,Hyaluronic Acid 2% + B5,The Ordinary,Serum,6.80,4.5,6500,https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=300&h=300&fit=crop&crop=center,Hydration serum that attracts and retains moisture,Water・Sodium Hyaluronate・Glycerin・Panthenol,Apply few drops to face morning and evening
10,Daily Moisturizing Lotion,CeraVe,Moisturizer,11.99,4.7,15000,https://images.unsplash.com/photo-1526947425960-945c6f7289a6?w=300&h=300&fit=crop&crop=center,Lightweight moisturizer that hydrates and restores barrier,Water・Glycerin・Ceramide NP・Sodium Hyaluronate,Apply liberally as needed
